metric,value
batch_status,completed
completed_sessions,21
planned_sessions,21
completed_days,7
planned_days,7
total_events_collected,65000
model_version,v20260527_205613
model_status,trained
test_accuracy,1.0
test_f1_macro,1.0
test_auc_ovr_macro,1.0
avg_system_latency_ms,0.0006261333333333332
avg_system_throughput_req_per_sec,4874.430721288485
avg_system_data_loss_pct,0.0
benchmark_avg_inference_ms,117.19995833312471
benchmark_p95_inference_ms,189.27850003819913
benchmark_processed_windows,120
inference_count_batch,123
alert_count_batch,1
